README | download CSV				
JobTitle_cleaned__	RoleMultichoice_composite	YearsDataVizExperience_4buckets	OrgSector_collapsed	OrgIndustry_collapsed
Data Visualization Consultant	Analyst	A: 2 or fewer years		Marketing
Data Visualization Consultant	Analyst	A: 2 or fewer years		2 or more
Data Visualization Consultant	Analyst	B: 3 to 5 years		
Data Visualization Designer	Leadership	D: 11 or more years		Finance
Data Visualization Designer	Designer	A: 2 or fewer years		Consulting
Data Visualization Designer	Designer	A: 2 or fewer years		
Data Visualization Designer	Designer	A: 2 or fewer years		
Data Visualization Designer	Designer	B: 3 to 5 years	Private sector	
Data Visualization Designer	Designer	B: 3 to 5 years		Consulting
Data Visualization Designer	Designer	B: 3 to 5 years		
Data Visualization Designer	Designer	B: 3 to 5 years		
Data Visualization Designer	Designer	B: 3 to 5 years		
Data Visualization Designer	Designer	B: 3 to 5 years		
Data Visualization Designer	Designer	C: 6 to 10 years	Academia	Consulting
Data Visualization Designer	Designer	C: 6 to 10 years		Information technology
Data Visualization Designer	Designer	D: 11 or more years		
Data Visualization Designer		B: 3 to 5 years		
Data Visualization Designer & Consultant	Designer	C: 6 to 10 years		
Data Visualization Developer	Engineer	C: 6 to 10 years	Private sector	
Data Visualization Developer	Developer	A: 2 or fewer years		Healthcare/medical
Data Visualization Developer	Developer	A: 2 or fewer years		Consulting
Data Visualization Developer	Developer	C: 6 to 10 years	Non-profit	
Data Visualization Developer	Developer	D: 11 or more years		Journalism
Data Visualization Developer	Analyst	C: 6 to 10 years		Consulting
Data Visualization Engineer	Engineer	A: 2 or fewer years		Finance
Data Visualization Engineer	Engineer	B: 3 to 5 years		Information technology
Data Visualization Engineer	Engineer	C: 6 to 10 years		Healthcare/medical
Data Visualization Engineer	Engineer	D: 11 or more years	Private sector	
Data Visualization Engineer	Developer	B: 3 to 5 years		Information technology
Data Visualization Engineer	Developer	C: 6 to 10 years	Private sector	Journalism
Data Visualization Engineer	Designer	C: 6 to 10 years		Information technology
Data Visualization Engineer	Designer	C: 6 to 10 years		Information technology
Data Visualization Freelance	Developer	C: 6 to 10 years		
Data Visualization Freelancer	Journalist	A: 2 or fewer years		Journalism
Data Visualization Instructor	Teacher	C: 6 to 10 years	Non-profit	
Data Visualization Journalist	Journalist	B: 3 to 5 years		Journalism
Data Visualization Lead	Engineer	C: 6 to 10 years	Public sector (government)	
Data Visualization Lead	Developer	B: 3 to 5 years	2 or more	2 or more
Data Visualization Lead	Analyst	B: 3 to 5 years	Private sector	Information technology
Data Visualization Librarian		C: 6 to 10 years	Public sector (government)	
Data Visualization Manager	Leadership	B: 3 to 5 years		Journalism
Data Visualization Manager	Leadership	C: 6 to 10 years		2 or more
Data Visualization Manager	Developer	D: 11 or more years		Finance
Data Visualization Manager	Academic	B: 3 to 5 years		
Data Visualization Scientist	Analyst	B: 3 to 5 years	Non-profit	
Data Visualization Specialist	Journalist	B: 3 to 5 years	Non-profit	
Data Visualization Specialist	Developer	A: 2 or fewer years		Marketing
Data Visualization Specialist	Developer	B: 3 to 5 years	Public sector (government)	
Data Visualization Specialist	Developer	B: 3 to 5 years		
Data Visualization Specialist	Developer	C: 6 to 10 years		Healthcare/medical
Data Visualization Specialist	Developer	C: 6 to 10 years		Consulting
Data Visualization Specialist	Analyst	A: 2 or fewer years	Non-profit	
Data Visualization Specialist	Analyst	D: 11 or more years		
Data Visualization Specialist		A: 2 or fewer years		Information technology
Data Visualization Specialist		B: 3 to 5 years		
Data Visualization Strategist	Designer	B: 3 to 5 years		Finance
Database Coordinator	Analyst	C: 6 to 10 years	Academia	
Decision Support Analyst	Analyst	C: 6 to 10 years	Academia	
Deputy Director	Leadership	A: 2 or fewer years		Journalism
Deputy Director	Academic	C: 6 to 10 years		
Deputy Manager Data Science	Leadership	B: 3 to 5 years	Private sector	
Design Associate	Designer	B: 3 to 5 years	Non-profit	
Design Consultant	Designer	A: 2 or fewer years		
Design Director	Designer	D: 11 or more years		
Design Intern	Student	A: 2 or fewer years		
Design Manager	Designer	C: 6 to 10 years	2 or more	2 or more
Designer	Designer	A: 2 or fewer years	2 or more	Consulting
Designer	Designer	A: 2 or fewer years		Information technology
Designer	Designer	A: 2 or fewer years		2 or more
Designer	Designer	B: 3 to 5 years		
Designer	Designer	C: 6 to 10 years	2 or more	2 or more
Designer	Designer	C: 6 to 10 years		Information technology
Designer	Designer	D: 11 or more years		Journalism
Designer	Designer	D: 11 or more years		
Designer		A: 2 or fewer years		
Developer	Developer	A: 2 or fewer years		
Developer	Developer	C: 6 to 10 years		Information technology
Developer	Developer	D: 11 or more years	Non-profit	Journalism
Developer		A: 2 or fewer years		
Developer, Information Designer	Designer	B: 3 to 5 years		
Development Officer	Developer	B: 3 to 5 years	Public sector (government)	
Digital Analyst	Analyst	A: 2 or fewer years	Non-profit	
Digital Analyst	Analyst	D: 11 or more years	2 or more	2 or more
Digital Analytics Implementation Specialist	Analyst	C: 6 to 10 years		Marketing
Digital Consultant	Analyst	D: 11 or more years		
Digital Content Producer	Designer	B: 3 to 5 years		Finance
Digital Content Producer	Designer	B: 3 to 5 years		2 or more
Digital Designer	Designer	B: 3 to 5 years	Private sector	
Digital Desk Manager	Journalist	A: 2 or fewer years		Journalism
Digital Marketing Assistant	Student	A: 2 or fewer years		
Digital Payment Analyst	Analyst	C: 6 to 10 years		
Digital Platform Architect		A: 2 or fewer years		
Digital Producer	Journalist	C: 6 to 10 years		Journalism
Digital Product Designer	Designer	B: 3 to 5 years		Information technology
Digitial Content Editor		B: 3 to 5 years		2 or more
Director	Leadership	B: 3 to 5 years		Healthcare/medical
Director	Leadership	D: 11 or more years	Non-profit	Healthcare/medical
Director	Leadership	D: 11 or more years		
Director	Developer	C: 6 to 10 years		
Director	Analyst	C: 6 to 10 years		
Director	Analyst	D: 11 or more years		
Director		A: 2 or fewer years		
Director		C: 6 to 10 years		
Director		D: 11 or more years		
Director		D: 11 or more years		
Director Analytics	Leadership	C: 6 to 10 years		Marketing
Director Business Analytics	Leadership	C: 6 to 10 years		Finance
Director Data Services	Leadership	C: 6 to 10 years	Non-profit	
Director Financial Decision Support	Leadership	C: 6 to 10 years		Healthcare/medical
Director of Analytics	Leadership	C: 6 to 10 years	2 or more	Information technology
Director of Analytics	Leadership	D: 11 or more years	Private sector	
Director of Analytics and Compliance	Leadership	C: 6 to 10 years	Non-profit	
Director of Analytics Engineering	Leadership	D: 11 or more years	Private sector	2 or more
Director of Climate Analysis	Leadership	C: 6 to 10 years	Public sector (government)	
Director of Communication	Leadership	D: 11 or more years	Non-profit	Healthcare/medical
Director of Data	Leadership	B: 3 to 5 years	Academia	
Director of Data	Leadership	C: 6 to 10 years		
Director of Data		C: 6 to 10 years		
Director of Data		D: 11 or more years	Academia	
Director of Data Analysis	Leadership	C: 6 to 10 years		Consulting
Director of Data Strategy	Leadership	D: 11 or more years		Finance
Director of Design	Leadership	A: 2 or fewer years		Marketing
Director of Design	Designer	D: 11 or more years	Private sector	2 or more
Director of Enablement	Leadership	D: 11 or more years		Information technology
Director of Engineering	Engineer	D: 11 or more years	Private sector	
Director of Engineering		D: 11 or more years		
Director of Evaluation	Leadership	C: 6 to 10 years	Non-profit	
Director of Innovation & Marketing	Leadership	C: 6 to 10 years		
Director of Institutional Effectiveness	Leadership	B: 3 to 5 years	Non-profit	
Director of Institutional Research	Leadership	D: 11 or more years	Academia	
Director of Institutional Research	Analyst	B: 3 to 5 years	Academia	
Director of Institutional Research	Analyst	C: 6 to 10 years	Academia	
Director of Institutional Research		A: 2 or fewer years	Academia	
Director of Measurement, Evaluation, and Learning	Leadership	B: 3 to 5 years	Non-profit	
Director of Operational Analytics	Analyst	C: 6 to 10 years	Academia	
Director of Operations	Analyst	D: 11 or more years	Non-profit	
Director of People Analytics		D: 11 or more years		
Director of Performance Improvement	Leadership	A: 2 or fewer years		
Director of Product	Leadership	C: 6 to 10 years		Information technology
Director of Research	Leadership	C: 6 to 10 years	Non-profit	
Director of Research	Leadership	C: 6 to 10 years		Information technology
Director of Research & Evaluation	Leadership	B: 3 to 5 years	Non-profit	
Director of Research, Data and Analytics	Leadership	C: 6 to 10 years	Non-profit	
Director of Workforce Analytics	Leadership	C: 6 to 10 years		Healthcare/medical
Director R&D		C: 6 to 10 years		
Director, Analytics	Leadership	A: 2 or fewer years		Information technology
Director, Analytics	Leadership	D: 11 or more years		
Director, Business Intelligence	Leadership	D: 11 or more years	Private sector	Information technology
Director, Business Intelligence	Leadership	D: 11 or more years		Finance
Director, Data and Analytics	Leadership	C: 6 to 10 years		Finance
Director, Data and Analytics	Leadership	D: 11 or more years	Academia	
Director, Data and Evaluation		C: 6 to 10 years	Non-profit	
Director, Data Asset Methods & Infrastructure		D: 11 or more years		
Director, Data Visualization	Leadership	C: 6 to 10 years	Private sector	
Director, Data Visualization	Designer	B: 3 to 5 years		Consulting
Director, Digital Marketing	Leadership	B: 3 to 5 years		2 or more
Director, Graphics	Journalist	C: 6 to 10 years		Journalism
Director, Independent Consultant	Leadership	D: 11 or more years	Academia	
Director, Institutional Assessment	Leadership	B: 3 to 5 years	Public sector (government)	
Director, Marketing Analytics		B: 3 to 5 years		
Director, Marketing Research and Analytics	Leadership	D: 11 or more years		Information technology
Director, Talent Analytics	Leadership	B: 3 to 5 years		Healthcare/medical
Division Assessment Officer	Analyst	D: 11 or more years	Academia	
E-Commerce Business Operator	Analyst	A: 2 or fewer years		
Ecologist	Scientist	D: 11 or more years	Public sector (government)	
Editorial Consultant	Journalist	C: 6 to 10 years		Journalism
Editorial Developer	Journalist	A: 2 or fewer years	Public sector (government)	Journalism
Editorial Developer	Journalist	C: 6 to 10 years		Journalism
Editorial Developer	Developer	C: 6 to 10 years		2 or more
Education Researcher	Analyst	D: 11 or more years	Public sector (government)	
Education Researcher	Analyst	D: 11 or more years	2 or more	
Educator and Consultant	Teacher	D: 11 or more years		
Electrical Design Engineer	Designer	A: 2 or fewer years	Public sector (government)	
Employee		B: 3 to 5 years		
End User Lead		B: 3 to 5 years		
Engagement Manager	Analyst	B: 3 to 5 years	Academia	Journalism
Engagement Specialist	Teacher	B: 3 to 5 years	Non-profit	Consulting
Engineer / Director	Analyst	A: 2 or fewer years		
Enterprise Data Advisor		D: 11 or more years		2 or more
Enterprise HR Data Scientist	Scientist	C: 6 to 10 years		Healthcare/medical
Environmental and Geospatial Data Scientist	Scientist	B: 3 to 5 years		
Epidemiologist	Analyst	A: 2 or fewer years	Public sector (government)	Healthcare/medical
Epidemiologist	Analyst	A: 2 or fewer years	Public sector (government)	Healthcare/medical
Epidemiologist	Analyst	A: 2 or fewer years	Public sector (government)	
Epidemiologist	Analyst	B: 3 to 5 years	Public sector (government)	
Epidemiologist	Analyst	D: 11 or more years		
Epidemiologist	Analyst	D: 11 or more years		
Epidemiologist	Academic	B: 3 to 5 years		
Epidemiology Specialist	Analyst	C: 6 to 10 years	Public sector (government)	Healthcare/medical
Equity Data Scientist	Analyst	A: 2 or fewer years	Academia	
ETL Data Engineer	Developer	C: 6 to 10 years	Public sector (government)	
Evaluation Adviser	Analyst	C: 6 to 10 years	Non-profit	
Evaluation Consultant	Analyst	C: 6 to 10 years		
Evaluation Consultant		B: 3 to 5 years		
Evaluation Coordinator	Analyst	C: 6 to 10 years	Academia	
Evaluation Director	Leadership	C: 6 to 10 years	Non-profit	
Evaluation Manager	Analyst	C: 6 to 10 years	Non-profit	
Evaluation Manager		B: 3 to 5 years	2 or more	Healthcare/medical
Evaluation Officer		A: 2 or fewer years		
Evaluation Specialist	Analyst	C: 6 to 10 years	Non-profit	
Evaluation Specialist		C: 6 to 10 years	Non-profit	
Evaluator		D: 11 or more years	Academia	
Executive	Analyst	A: 2 or fewer years		2 or more
Executive Director	Leadership	B: 3 to 5 years	Non-profit	
Executive Director	Leadership	C: 6 to 10 years	Non-profit	
Experience Designer	Designer	D: 11 or more years		Information technology
Faculty Lead, Geospatial Data Analytics	Academic	B: 3 to 5 years		
Faculty Member	Academic	C: 6 to 10 years		
Fellow	Academic	C: 6 to 10 years		
Fellow		A: 2 or fewer years	Public sector (government)	
Finance Analyst		B: 3 to 5 years		
FInance and Strategic Operations Analyst	Analyst	B: 3 to 5 years	Academia	
Finance Manager	Analyst	B: 3 to 5 years		
Finance Operations Manager	Leadership	C: 6 to 10 years	Public sector (government)	
Flight Test Engineer	Analyst	B: 3 to 5 years	Public sector (government)	
Founder	Developer	C: 6 to 10 years		
Founder	Developer	C: 6 to 10 years		
Founder		B: 3 to 5 years		
Founder		D: 11 or more years		
Founder / President	Leadership	C: 6 to 10 years		
Founder, Chief Architect	Journalist	A: 2 or fewer years		
Founder, Principal	Designer	D: 11 or more years		
Founder, Principal	Analyst	A: 2 or fewer years		
Founder, Principal		C: 6 to 10 years		
Fraud Analyst		A: 2 or fewer years		
Freelancer	Scientist	A: 2 or fewer years		
Freelancer	Designer	A: 2 or fewer years		
Freelancer	Analyst	C: 6 to 10 years		
Freelancer		A: 2 or fewer years		
Freelancer		C: 6 to 10 years		
Front End Software Developer	Engineer	C: 6 to 10 years	Private sector	
Front End Web Developer	Developer	C: 6 to 10 years	Public sector (government)	
Frontend Developer		A: 2 or fewer years		
Frontend Dngineer	Engineer	B: 3 to 5 years	Non-profit	Information technology
Full Stack Developer	Engineer	A: 2 or fewer years		Information technology
Full Stack Developer	Engineer	C: 6 to 10 years		Information technology
Geographer	Analyst	B: 3 to 5 years	Public sector (government)	
Geographic Information Analyst	Cartographer	A: 2 or fewer years	Public sector (government)	
Geospatial Consultant	Analyst	D: 11 or more years		
Geospatial Implementation Specialist	Analyst	C: 6 to 10 years	Private sector	
Geospatial Solutions Engineer	Engineer	C: 6 to 10 years	Private sector	Information technology
GIS Analyst	Cartographer	B: 3 to 5 years		Consulting
GIS Outreach Coordinator	Academic	C: 6 to 10 years		
GIS Specialist	Cartographer	B: 3 to 5 years	Public sector (government)	Information technology
GIS Specialist	Analyst	B: 3 to 5 years		
Graduate Student	Student	A: 2 or fewer years		
Graduate Student	Student	A: 2 or fewer years		
Graduate Student	Student	B: 3 to 5 years		
Graduate Student	Student	B: 3 to 5 years		
Graduate Student	Student	C: 6 to 10 years		
Graduate Student / Research Assistant	Student	B: 3 to 5 years		
Graphic and Information Designer		A: 2 or fewer years		
Graphic Designer	Designer	A: 2 or fewer years		Journalism
Graphic Designer	Designer	B: 3 to 5 years	Academia	
Graphic Designer	Designer	B: 3 to 5 years		
Graphic Designer	Designer	C: 6 to 10 years		
Graphics Editor	Journalist	A: 2 or fewer years		Journalism
Graphics Editor	Journalist	B: 3 to 5 years		Journalism
Graphics Editor	Designer	D: 11 or more years	Public sector (government)	
Graphics Intern	Student	A: 2 or fewer years		
Graphics Intern	Journalist	A: 2 or fewer years		Journalism
Graphics Journalist	Journalist	A: 2 or fewer years		
Graphics Reporter	Journalist	B: 3 to 5 years		Journalism
Graphics Reporter	Journalist	B: 3 to 5 years		Journalism
Graphics Reporter		A: 2 or fewer years		
Graphics Specialist	Designer	D: 11 or more years		Marketing
Head of Analytics	Analyst	B: 3 to 5 years	Academia	
Head of Business Intelligence	Analyst	C: 6 to 10 years		Marketing
Head of Business Intelligence		B: 3 to 5 years		
Head of Communications	Leadership	C: 6 to 10 years	Private sector	Journalism
Head of Data	Engineer	C: 6 to 10 years		Information technology
Head of Data & Analytics	Leadership	B: 3 to 5 years		Finance
Head of Data & Analytics	Leadership	C: 6 to 10 years		Finance
Head of Data Analytics	Leadership	D: 11 or more years	Private sector	
Head of Data Analytics	Leadership	D: 11 or more years		Finance
Head of Data Innovation	Analyst	D: 11 or more years	Public sector (government)	
Head of Data Insights	Analyst	C: 6 to 10 years		
Head of Data Science		D: 11 or more years		
Head of Data Visualisation	Leadership	C: 6 to 10 years	Private sector	Marketing
Head of Data Visualisation	Leadership	D: 11 or more years		Journalism
Head of Design		A: 2 or fewer years		
Head of Enablement	Leadership	C: 6 to 10 years		Information technology
Head of Human Resources	Leadership	D: 11 or more years		Information technology
Head of Operational Excellence	Leadership	C: 6 to 10 years		Finance
Head of Product	Engineer	C: 6 to 10 years	Private sector	Information technology
Head of Projects	Leadership	C: 6 to 10 years	Private sector	
Head of Research	Leadership	C: 6 to 10 years	2 or more	
Head of Visual Design	Designer	C: 6 to 10 years		Consulting
Head Sales Operations		B: 3 to 5 years		
Health Care Reporting Analyst	Analyst	C: 6 to 10 years	2 or more	Healthcare/medical
Health Communication Specialist		A: 2 or fewer years	Public sector (government)	
Health Data Analyst	Analyst	B: 3 to 5 years	Public sector (government)	Healthcare/medical
Health Program Specialist		C: 6 to 10 years		
Healthcare Data Analyst	Analyst	B: 3 to 5 years		2 or more
Hobbyist		A: 2 or fewer years		
HR Analyst	Analyst	D: 11 or more years		
HR Data Analyst	Analyst	A: 2 or fewer years	Academia	
HR Data Analyst	Analyst	B: 3 to 5 years	Private sector	
Human-Computer Interaction Researcher	Scientist	A: 2 or fewer years	Academia	Information technology
Impact Director	Leadership	C: 6 to 10 years	2 or more	
In between jobs at the moment		B: 3 to 5 years		
Independent Consultant	Analyst	C: 6 to 10 years		
Independent Contractor	Analyst	C: 6 to 10 years		
Industrial Engineering Business Operations Project/Program Manager		D: 11 or more years		
Infographic Designer / Graphic Artist	Designer	D: 11 or more years		
Infographics Designer	Designer	C: 6 to 10 years		Journalism
Infographics Designer	Designer	D: 11 or more years		Journalism
Infographics Editor	Leadership	C: 6 to 10 years		Journalism
Information Analyst	Analyst	B: 3 to 5 years		
Information Analyst		B: 3 to 5 years		
Information Design Consultant	Designer	B: 3 to 5 years		
Information Designer	Designer	A: 2 or fewer years		
Information Designer	Designer	B: 3 to 5 years	Non-profit	
Information Designer	Designer	B: 3 to 5 years	Non-profit	
Information Designer	Designer	B: 3 to 5 years	Academia	Journalism
Information Designer	Designer	B: 3 to 5 years		Consulting
Information Designer	Designer	B: 3 to 5 years		
Information Designer	Designer	B: 3 to 5 years		
Information Designer	Designer	B: 3 to 5 years		
Information Designer	Designer	C: 6 to 10 years	Private sector	
Information Designer	Designer	C: 6 to 10 years	Non-profit	
Information Designer	Designer	C: 6 to 10 years		
Information Designer	Designer	C: 6 to 10 years		
Information Designer	Designer	D: 11 or more years		
Information Designer	Designer	D: 11 or more years		
Information Designer	Designer	D: 11 or more years		
Information Designer		B: 3 to 5 years		
Information Management Specialist	Analyst	A: 2 or fewer years		
Information Management Specialist	Analyst	B: 3 to 5 years		
Information Specialist	Analyst	B: 3 to 5 years	Academia	
Information Visualization Scientist	Designer	C: 6 to 10 years	2 or more	
Information Wrangler	Designer	D: 11 or more years		
Insight Consultant	Analyst	B: 3 to 5 years		2 or more
Insight Research Officer		A: 2 or fewer years		
Insights Analyst	Analyst	B: 3 to 5 years		Marketing
Insights Analyst	Analyst	C: 6 to 10 years		
Insights Analytics Expert	Developer	D: 11 or more years	2 or more	2 or more
Insights Consultant	Analyst	B: 3 to 5 years	Private sector	
Insights Data Analyst		A: 2 or fewer years		
Insights Lead	Analyst	B: 3 to 5 years	Public sector (government)	Information technology
Institutional Research Analyst	Analyst	C: 6 to 10 years		
Institutional Research Specialist	Analyst	C: 6 to 10 years	Academia	
Institutional Researcher	Analyst	C: 6 to 10 years	Non-profit	
Interaction Designer		A: 2 or fewer years		
Interactive Data Journalist	Designer	C: 6 to 10 years	Private sector	Journalism
Interactive Developer	Developer	C: 6 to 10 years		Journalism
Intern	Analyst	B: 3 to 5 years		Finance
Internal Evaluator / Associate Director		C: 6 to 10 years	Academia	
International Relations Analyst		A: 2 or fewer years		
IT Analyst		B: 3 to 5 years		
IT Analyst, BI Developer	Developer	B: 3 to 5 years		Healthcare/medical
IT Data Management Coordinator	Analyst	C: 6 to 10 years	Public sector (government)	
IT Specialist	Analyst	A: 2 or fewer years	Public sector (government)	Information technology
Junior Consultant	Developer	B: 3 to 5 years		Consulting
Junior PowerBI Analyst	Analyst	A: 2 or fewer years		Information technology
Junior Professional	Scientist	B: 3 to 5 years		
Junior Researcher	Academic	B: 3 to 5 years		
Junior Researcher	Academic	C: 6 to 10 years		
Junior Researcher		A: 2 or fewer years		
Lab Technician	Scientist	C: 6 to 10 years	Private sector	Healthcare/medical
Lead Analyst	Analyst	B: 3 to 5 years		
Lead Analyst	Analyst	C: 6 to 10 years		
Lead BI Consultant		C: 6 to 10 years		
Lead Business Intelligence Analyst	Analyst	C: 6 to 10 years		
Lead Cartographer	Cartographer	D: 11 or more years	Non-profit	
Lead Consultant		B: 3 to 5 years		
Lead Data Analyst	Leadership	C: 6 to 10 years		
Lead Data Analyst	Developer	D: 11 or more years	Private sector	Finance
Lead Data Analyst	Analyst	B: 3 to 5 years		Healthcare/medical
Lead Data Analyst	Analyst	C: 6 to 10 years	Private sector	Finance
Lead Data Analyst	Analyst	D: 11 or more years		Information technology
Lead Data Consultant	Analyst	C: 6 to 10 years		Information technology
Lead Data Consultant	Analyst	C: 6 to 10 years		Consulting
Lead Data Engineer	Teacher	C: 6 to 10 years		2 or more
Lead Data Scientist	Scientist	C: 6 to 10 years		Information technology
Lead Data Scientist	Developer	D: 11 or more years	2 or more	2 or more
Lead Data Visualisation Producer	Journalist	B: 3 to 5 years	Public sector (government)	
Lead Data Visualization Designer	Analyst	C: 6 to 10 years	2 or more	Healthcare/medical
Lead Data Visualization Engineer	Engineer	C: 6 to 10 years		Information technology
Lead Designer	Designer	C: 6 to 10 years		Journalism
Lead Experience Designer	Designer	C: 6 to 10 years	Private sector	
Lead Graphic Designer	Designer	B: 3 to 5 years	Private sector	
Lead Product Manager		B: 3 to 5 years		
Lead Software Architect	Engineer	B: 3 to 5 years		Finance
Lead Software Engineer		B: 3 to 5 years		
Lead, Data Visualization	Leadership	C: 6 to 10 years		Consulting
Lead, Data Visualization & BI	Analyst	B: 3 to 5 years	Private sector	
Lead, Research and Data Analytics	Leadership	C: 6 to 10 years	Non-profit	Healthcare/medical
Learning & Evaluation Associate	Analyst	A: 2 or fewer years	Non-profit	
Lecturer	Designer	C: 6 to 10 years		
Lecturer	Academic	A: 2 or fewer years		
Lecturer	Academic	A: 2 or fewer years		
Lecturer	Academic	B: 3 to 5 years		
Lecturer	Academic	C: 6 to 10 years		
Lecturer	Academic	D: 11 or more years		
Library Data Coordinator		B: 3 to 5 years	Public sector (government)	
Logistics & Supply Chain Analyst		A: 2 or fewer years		
M&E Advisor	Analyst	B: 3 to 5 years	Non-profit	
M&E Specialist	Leadership	B: 3 to 5 years	Public sector (government)	
Machine Learning Engineer	Engineer	A: 2 or fewer years		Information technology
Machine Learning Engineer		C: 6 to 10 years		
Machine Learning Engineer		D: 11 or more years		
Manager	Leadership	B: 3 to 5 years		Finance
Manager	Leadership	C: 6 to 10 years		Healthcare/medical
Manager	Leadership	C: 6 to 10 years		Finance
Manager	Leadership	D: 11 or more years	Non-profit	Consulting
Manager	Analyst	A: 2 or fewer years		Marketing
Manager	Analyst	C: 6 to 10 years	Public sector (government)	Consulting
Manager		B: 3 to 5 years		
Manager		C: 6 to 10 years		
Manager		C: 6 to 10 years		
Manager of Commercial Analytics	Analyst	B: 3 to 5 years		Healthcare/medical
Manager of Data Visualization	Designer	C: 6 to 10 years		Healthcare/medical
Manager of Data, Reporting and Evaluation	Leadership	B: 3 to 5 years	Non-profit	
Manager, Analytics	Leadership	B: 3 to 5 years		Finance
Manager, Analytics	Leadership	C: 6 to 10 years	Private sector	Marketing
Manager, Analytics	Leadership	C: 6 to 10 years		
Manager, Analytics	Leadership	D: 11 or more years	Academia	2 or more
Manager, Analytics	Leadership	D: 11 or more years		2 or more
Manager, Analytics	Analyst	C: 6 to 10 years		Finance
Manager, Analytics	Analyst	C: 6 to 10 years		
Manager, Analytics	Analyst	C: 6 to 10 years		
Manager, Analytics	Analyst	D: 11 or more years		Finance
Manager, Business Intelligence	Leadership	B: 3 to 5 years		2 or more
Manager, Business Intelligence	Leadership	C: 6 to 10 years		
Manager, Clinical Data	Analyst	D: 11 or more years		Healthcare/medical
Manager, Communications and Marketing	Leadership	B: 3 to 5 years		
Manager, Monitoring and Evaluation	Leadership	C: 6 to 10 years		
Managing Director	Developer	A: 2 or fewer years		
Managing Partner		C: 6 to 10 years		
Map Designer	Cartographer	B: 3 to 5 years	2 or more	2 or more
Marketing and Communications	Designer	C: 6 to 10 years		
Marketing and Communications Analyst	Analyst	B: 3 to 5 years	Non-profit	Healthcare/medical
Marketing Data Analyst	Analyst	B: 3 to 5 years		Finance
Marketing Officer	Analyst	C: 6 to 10 years	Public sector (government)	
Marketing, Communication, and Brand Manager	Student	A: 2 or fewer years		
Master of Social Work Student	Student	A: 2 or fewer years		
Masters Student	Student	D: 11 or more years		
Math Major, Undergrad	Student	A: 2 or fewer years		
Medical Product Specialist	Student	A: 2 or fewer years		
Medical Scientist	Scientist	B: 3 to 5 years	Public sector (government)	Healthcare/medical
Member Insights Analyst	Analyst	C: 6 to 10 years	Non-profit	
Membership Officer	Analyst	B: 3 to 5 years	Non-profit	
MIS Analyst	Analyst	B: 3 to 5 years	Private sector	
MIS Manager	Leadership	C: 6 to 10 years		
Modeling/Forecasting Specialist	Analyst	C: 6 to 10 years		Finance
Monitoring & Evaluation Consultant	Analyst	C: 6 to 10 years		Consulting
Monitoring and Evaluation Coordinator		A: 2 or fewer years	Non-profit	
Monitoring and Evaluation Specialist	Analyst	B: 3 to 5 years	2 or more	Consulting
Monitoring and Evaluation Specialist		C: 6 to 10 years	2 or more	Journalism
Monitoring, Evaluation, and Learning Specialist	Analyst	D: 11 or more years	Public sector (government)	
n/a	Student	C: 6 to 10 years		
Network Specialist		B: 3 to 5 years		
Neuroscientist	Academic	B: 3 to 5 years		
News Editor	Journalist	D: 11 or more years		Journalism
Newsroom Developer	Journalist	B: 3 to 5 years		Journalism
No titles in our company	Designer	D: 11 or more years		
Officer		A: 2 or fewer years		
Officer, Planning & Evaluation	Analyst	C: 6 to 10 years	Non-profit	
Operation Specialist	Analyst	B: 3 to 5 years	Public sector (government)	
Operations Analyst		B: 3 to 5 years		
Operations Lead	Leadership	C: 6 to 10 years	Private sector	
Operations Research Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Operations Specialist	Student	A: 2 or fewer years		
Outcomes & Evaluation Manager	Leadership	C: 6 to 10 years	Non-profit	
Owner	Teacher	C: 6 to 10 years		
Owner / Data Science Consultant		B: 3 to 5 years		
Owner & Principal Consultant	Designer	D: 11 or more years		
Owner and Evaluation Consultant		D: 11 or more years		
Paramedic		A: 2 or fewer years		
Partner	Leadership	D: 11 or more years	2 or more	2 or more
Partner		C: 6 to 10 years		
Partner		D: 11 or more years		
Partner, Design Officer	Designer	B: 3 to 5 years		
Partnership Manager, Data Analyst	Analyst	C: 6 to 10 years	Non-profit	
Patron Experience Librarian		C: 6 to 10 years	Public sector (government)	
Performance Analyst	Analyst	A: 2 or fewer years	Public sector (government)	
Performance Analyst	Analyst	B: 3 to 5 years	Public sector (government)	Information technology
PhD Candidate	Student	A: 2 or fewer years		
PhD Candidate	Student	B: 3 to 5 years		
PhD Candidate	Student	B: 3 to 5 years		
PhD Candidate	Academic	B: 3 to 5 years		
PhD Candidate	Academic	C: 6 to 10 years		
PhD Researcher	Academic	B: 3 to 5 years		
PhD Student	Student	A: 2 or fewer years		
PhD Student	Student	A: 2 or fewer years		
PhD Student	Student	B: 3 to 5 years		
PhD Student	Student	C: 6 to 10 years		
PhD Student	Student	C: 6 to 10 years		
PhD Student	Designer	B: 3 to 5 years		
PhD Student	Academic	B: 3 to 5 years		
PhD Student	Academic	C: 6 to 10 years		
PhD Student		C: 6 to 10 years		
PhD Student, Research Assistant	Student	A: 2 or fewer years		
Physical	Leadership	C: 6 to 10 years	Private sector	Information technology
Planning Consultant	Analyst	A: 2 or fewer years		
Portfolio Architect	Leadership	B: 3 to 5 years		
